event,event_date,fighter_1,fighter_2,result,method,round,time
UFC 94: St-Pierre vs Penn 2,"January 31, 2009",Jon Jones,Stephan Bonnar,win,U-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009",Karo Parisyan,Dong Hyun Kim,"nc


nc",Overturned,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009",Clay Guida,Nate Diaz,win,S-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009",Jon Fitch,Akihiro Gono,win,U-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009",Thiago Tavares,Manvel Gamburyan,win,U-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009",John Howard,Chris Wilson,win,S-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009",Jake O'Brien,Christian Wellisch,win,S-DEC,3,5:00
UFC 94: St-Pierre vs Penn 2,"January 31, 2009",Dan Cramer,Matt Arroyo,win,S-DEC,3,5:00
UFC 93: Franklin vs Henderson,"January 17, 2009",Dan Henderson,Rich Franklin,win,S-DEC,3,5:00
UFC 93: Franklin vs Henderson,"January 17, 2009",Mauricio Rua,Mark Coleman,win,"KO/TKO

      

        Punches",3,4:36
UFC 93: Franklin vs Henderson,"January 17, 2009",Rousimar Palhares,Jeremy Horn,win,U-DEC,3,5:00
UFC 93: Franklin vs Henderson,"January 17, 2009",Alan Belcher,Denis Kang,win,"SUB

      

        Guillotine Choke",2,4:36
UFC 93: Franklin vs Henderson,"January 17, 2009",Marcus Davis,Chris Lytle,win,S-DEC,3,5:00
UFC 93: Franklin vs Henderson,"January 17, 2009",John Hathaway,Tom Egan,win,"KO/TKO

      

        Elbows",1,4:36
UFC 93: Franklin vs Henderson,"January 17, 2009",Martin Kampmann,Alexandre Barros,win,"KO/TKO

      

        Punches",2,3:09
UFC 93: Franklin vs Henderson,"January 17, 2009",Eric Schafer,Antonio Mendes,win,"KO/TKO

      

        Punches",1,3:35
UFC 93: Franklin vs Henderson,"January 17, 2009",Tomasz Drwal,Ivan Serati,win,"KO/TKO

      

        Punches",1,2:02
UFC 93: Franklin vs Henderson,"January 17, 2009",Dennis Siver,Nate Mohr,win,"KO/TKO

      

        Spinning Back Kick",3,3:45
UFC 92: The Ultimate 2008,"December 27, 2008",Rashad Evans,Forrest Griffin,win,"KO/TKO

      

        Punches",3,2:46
UFC 92: The Ultimate 2008,"December 27, 2008",Frank Mir,Antonio Rodrigo Nogueira,win,"KO/TKO

      

        Punch",2,1:54
UFC 92: The Ultimate 2008,"December 27, 2008",CB Dollaway,Mike Massenzio,win,"KO/TKO

      

        Punches",1,3:01
UFC 92: The Ultimate 2008,"December 27, 2008",Quinton Jackson,Wanderlei Silva,win,"KO/TKO

      

        Punch",1,3:21
UFC 92: The Ultimate 2008,"December 27, 2008",Cheick Kongo,Mostapha Al-Turk,win,"KO/TKO

      

        Elbows",1,4:37
UFC 92: The Ultimate 2008,"December 27, 2008",Yushin Okami,Dean Lister,win,U-DEC,3,5:00
UFC 92: The Ultimate 2008,"December 27, 2008",Antoni Hardonk,Mike Wessel,win,"KO/TKO

      

        Punches",2,2:09
UFC 92: The Ultimate 2008,"December 27, 2008",Matt Hamill,Reese Andy,win,"KO/TKO

      

        Punches",2,2:19
UFC 92: The Ultimate 2008,"December 27, 2008",Brad Blackburn,Ryo Chonan,win,U-DEC,3,5:00
UFC 92: The Ultimate 2008,"December 27, 2008",Pat Barry,Dan Evensen,win,"KO/TKO

      

        Kicks",1,2:36
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Efrain Escudero,Phillipe Nover,win,U-DEC,3,5:00
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Ryan Bader,Vinny Magalhaes,win,"KO/TKO

      

        Punch",1,2:18
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Anthony Johnson,Kevin Burns,win,"KO/TKO

      

        Kick",3,0:28
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Wilson Gouveia,Jason MacDonald,win,"KO/TKO

      

        Elbow",1,2:18
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Junie Browning,David Kaplan,win,"SUB

      

        Armbar",2,1:32
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Krzysztof Soszynski,Shane Primm,win,"SUB

      

        Kimura",2,3:27
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Eliot Marshall,Jules Bruchez,win,"SUB

      

        Rear Naked Choke",1,1:27
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Tom Lawlor,Kyle Kingsbury,win,U-DEC,3,5:00
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Shane Nelson,George Roop,win,S-DEC,3,5:00
The Ultimate Fighter: Team Nogueira vs. Team Mir Finale,"December 13, 2008",Rolando Delgado,John Polakowski,win,"SUB

      

        Guillotine Choke",2,2:18
UFC Fight Night - Fight for the Troops,"December 10, 2008",Josh Koscheck,Yoshiyuki Yoshida,win,"KO/TKO

      

        Punches",1,2:15
UFC Fight Night - Fight for the Troops,"December 10, 2008",Mike Swick,Jonathan Goulet,win,"KO/TKO

      

        Punch",1,0:33
UFC Fight Night - Fight for the Troops,"December 10, 2008",Steve Cantwell,Razak Al-Hassan,win,"SUB

      

        Armbar",1,4:04
UFC Fight Night - Fight for the Troops,"December 10, 2008",Tim Credeur,Nate Loughran,win,KO/TKO,2,5:00
UFC Fight Night - Fight for the Troops,"December 10, 2008",Jim Miller,Matt Wiman,win,U-DEC,3,5:00
UFC Fight Night - Fight for the Troops,"December 10, 2008",Luigi Fioravanti,Brodie Farber,win,U-DEC,3,5:00
UFC Fight Night - Fight for the Troops,"December 10, 2008",Steve Bruno,Johnny Rees,win,"SUB

      

        Rear Naked Choke",2,3:44
UFC Fight Night - Fight for the Troops,"December 10, 2008",Ben Saunders,Brandon Wolff,win,"KO/TKO

      

        Knees",1,1:49
UFC Fight Night - Fight for the Troops,"December 10, 2008",Dale Hartt,Corey Hill,win,KO/TKO,2,0:20
UFC Fight Night - Fight for the Troops,"December 10, 2008",Justin McCully,Eddie Sanchez,win,U-DEC,3,5:00
UFC 91: Couture vs Lesnar,"November 15, 2008",Brock Lesnar,Randy Couture,win,"KO/TKO

      

        Punches",2,3:07
UFC 91: Couture vs Lesnar,"November 15, 2008",Kenny Florian,Joe Stevenson,win,"SUB

      

        Rear Naked Choke",1,4:03
UFC 91: Couture vs Lesnar,"November 15, 2008",Dustin Hazelett,Tamdan McCrory,win,"SUB

      

        Armbar",1,3:59
UFC 91: Couture vs Lesnar,"November 15, 2008",Gabriel Gonzaga,Josh Hendricks,win,"KO/TKO

      

        Punch",1,1:01
UFC 91: Couture vs Lesnar,"November 15, 2008",Demian Maia,Nate Quarry,win,"SUB

      

        Rear Naked Choke",1,2:13
UFC 91: Couture vs Lesnar,"November 15, 2008",Aaron Riley,Jorge Gurgel,win,U-DEC,3,5:00
UFC 91: Couture vs Lesnar,"November 15, 2008",Jeremy Stephens,Rafael Dos Anjos,win,"KO/TKO

      

        Punch",3,0:39
UFC 91: Couture vs Lesnar,"November 15, 2008",Mark Bocek,Alvin Robinson,win,"SUB

      

        Rear Naked Choke",3,3:16
UFC 91: Couture vs Lesnar,"November 15, 2008",Matt Brown,Ryan Thomas,win,"SUB

      

        Armbar",2,0:57
UFC 90: Silva vs Cote,"October 25, 2008",Anderson Silva,Patrick Cote,win,KO/TKO,3,0:39
UFC 90: Silva vs Cote,"October 25, 2008",Thiago Alves,Josh Koscheck,win,U-DEC,3,5:00
UFC 90: Silva vs Cote,"October 25, 2008",Gray Maynard,Rich Clementi,win,U-DEC,3,5:00
UFC 90: Silva vs Cote,"October 25, 2008",Junior Dos Santos,Fabricio Werdum,win,"KO/TKO

      

        Punch",1,1:21
UFC 90: Silva vs Cote,"October 25, 2008",Sean Sherk,Tyson Griffin,win,U-DEC,3,5:00
UFC 90: Silva vs Cote,"October 25, 2008",Thales Leites,Drew McFedries,win,"SUB

      

        Rear Naked Choke",1,1:18
UFC 90: Silva vs Cote,"October 25, 2008",Spencer Fisher,Shannon Gugerty,win,"SUB

      

        Triangle Choke",3,3:56
UFC 90: Silva vs Cote,"October 25, 2008",Dan Miller,Matt Horwich,win,U-DEC,3,5:00
UFC 90: Silva vs Cote,"October 25, 2008",Hermes Franca,Marcus Aurelio,win,U-DEC,3,5:00
UFC 90: Silva vs Cote,"October 25, 2008",Pete Sell,Joshua Burkman,win,U-DEC,3,5:00
UFC 89: Bisping vs Leben,"October 18, 2008",Michael Bisping,Chris Leben,win,U-DEC,3,5:00
UFC 89: Bisping vs Leben,"October 18, 2008",Keith Jardine,Brandon Vera,win,S-DEC,3,5:00
UFC 89: Bisping vs Leben,"October 18, 2008",Luiz Cane,Rameau Thierry Sokoudjou,win,"KO/TKO

      

        Punches",2,4:15
UFC 89: Bisping vs Leben,"October 18, 2008",Chris Lytle,Paul Taylor,win,U-DEC,3,5:00
UFC 89: Bisping vs Leben,"October 18, 2008",Marcus Davis,Paul Kelly,win,"SUB

      

        Guillotine Choke",2,2:16
UFC 89: Bisping vs Leben,"October 18, 2008",Dan Hardy,Akihiro Gono,win,S-DEC,3,5:00
UFC 89: Bisping vs Leben,"October 18, 2008",Shane Carwin,Neil Wain,win,"KO/TKO

      

        Punches",1,1:31
UFC 89: Bisping vs Leben,"October 18, 2008",David Bielkheden,Jess Liaudin,win,U-DEC,3,5:00
UFC 89: Bisping vs Leben,"October 18, 2008",Terry Etim,Sam Stout,win,U-DEC,3,5:00
UFC 89: Bisping vs Leben,"October 18, 2008",Jim Miller,David Baron,win,"SUB

      

        Rear Naked Choke",3,3:19
UFC 89: Bisping vs Leben,"October 18, 2008",Per Eklund,Samy Schiavo,win,"SUB

      

        Rear Naked Choke",3,1:47
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Nate Diaz,Josh Neer,win,S-DEC,3,5:00
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Clay Guida,Mac Danzig,win,U-DEC,3,5:00
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Alan Belcher,Ed Herman,win,S-DEC,3,5:00
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Eric Schafer,Houston Alexander,win,"SUB

      

        Arm Triangle",1,4:53
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Alessio Sakara,Joe Vedepo,win,"KO/TKO

      

        Kick",1,1:27
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Wilson Gouveia,Ryan Jensen,win,"SUB

      

        Armbar",2,2:04
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Joe Lauzon,Kyle Bradley,win,"KO/TKO

      

        Punches",2,1:34
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Jason Brilz,Brad Morris,win,"KO/TKO

      

        Punches",2,2:54
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Mike Massenzio,Drew McFedries,win,"SUB

      

        Kimura",1,1:28
UFC Fight Night: Diaz vs Neer,"September 17, 2008",Dan Miller,Rob Kimmons,win,"SUB

      

        Rear Naked Choke",1,1:27
UFC 88: Breakthrough,"September 06, 2008",Rashad Evans,Chuck Liddell,win,"KO/TKO

      

        Punch",2,1:51
UFC 88: Breakthrough,"September 06, 2008",Rich Franklin,Matt Hamill,win,"KO/TKO

      

        Kick",3,0:39
UFC 88: Breakthrough,"September 06, 2008",Dan Henderson,Rousimar Palhares,win,U-DEC,3,5:00
UFC 88: Breakthrough,"September 06, 2008",Nate Marquardt,Martin Kampmann,win,"KO/TKO

      

        Punches",1,1:22
UFC 88: Breakthrough,"September 06, 2008",Dong Hyun Kim,Matt Brown,win,S-DEC,3,5:00
UFC 88: Breakthrough,"September 06, 2008",Kurt Pellegrino,Thiago Tavares,win,U-DEC,3,5:00
UFC 88: Breakthrough,"September 06, 2008",Tim Boetsch,Michael Patt,win,"KO/TKO

      

        Punches",1,2:03
UFC 88: Breakthrough,"September 06, 2008",Jason MacDonald,Jason Lambert,win,"SUB

      

        Rear Naked Choke",2,1:20
UFC 88: Breakthrough,"September 06, 2008",Ryo Chonan,Roan Carneiro,win,S-DEC,3,5:00
UFC 87: Seek And Destroy,"August 09, 2008",Georges St-Pierre,Jon Fitch,win,U-DEC,5,5:00
UFC 87: Seek And Destroy,"August 09, 2008",Brock Lesnar,Heath Herring,win,U-DEC,3,5:00
UFC 87: Seek And Destroy,"August 09, 2008",Rob Emerson,Manvel Gamburyan,win,"KO/TKO

      

        Punch",1,0:12
UFC 87: Seek And Destroy,"August 09, 2008",Kenny Florian,Roger Huerta,win,U-DEC,3,5:00
UFC 87: Seek And Destroy,"August 09, 2008",Demian Maia,Jason MacDonald,win,"SUB

      

        Rear Naked Choke",3,2:44
UFC 87: Seek And Destroy,"August 09, 2008",Tamdan McCrory,Luke Cummo,win,U-DEC,3,5:00
UFC 87: Seek And Destroy,"August 09, 2008",Cheick Kongo,Dan Evensen,win,"KO/TKO

      

        Punch",1,4:55
UFC 87: Seek And Destroy,"August 09, 2008",Jon Jones,Andre Gusmao,win,U-DEC,3,5:00
UFC 87: Seek And Destroy,"August 09, 2008",Chris Wilson,Steve Bruno,win,U-DEC,3,5:00
UFC 87: Seek And Destroy,"August 09, 2008",Ben Saunders,Ryan Thomas,win,"SUB

      

        Armbar",2,2:28
UFC: Silva vs Irvin,"July 19, 2008",Anderson Silva,James Irvin,win,"KO/TKO

      

        Punch",1,1:01
UFC: Silva vs Irvin,"July 19, 2008",Brandon Vera,Reese Andy,win,U-DEC,3,5:00
UFC: Silva vs Irvin,"July 19, 2008",Frankie Edgar,Hermes Franca,win,U-DEC,3,5:00
UFC: Silva vs Irvin,"July 19, 2008",Cain Velasquez,Jake O'Brien,win,"KO/TKO

      

        Punches",1,2:02
UFC: Silva vs Irvin,"July 19, 2008",Kevin Burns,Anthony Johnson,win,KO/TKO,3,3:35
UFC: Silva vs Irvin,"July 19, 2008",CB Dollaway,Jesse Taylor,win,"SUB

      

        Peruvian Necktie",1,3:58
UFC: Silva vs Irvin,"July 19, 2008",Tim Credeur,Cale Yarbrough,win,"KO/TKO

      

        Punches",1,1:54
UFC: Silva vs Irvin,"July 19, 2008",Rory Markham,Brodie Farber,win,"KO/TKO

      

        Kick",1,1:37
UFC: Silva vs Irvin,"July 19, 2008",Nate Loughran,Johnny Rees,win,"SUB

      

        Triangle Choke",1,4:21
UFC: Silva vs Irvin,"July 19, 2008",Brad Blackburn,James Giboo,win,"KO/TKO

      

        Punches",2,2:29
UFC: Silva vs Irvin,"July 19, 2008",Shannon Gugerty,Dale Hartt,win,"SUB

      

        Rear Naked Choke",1,3:33
UFC 86: Jackson vs Griffin,"July 05, 2008",Forrest Griffin,Quinton Jackson,win,U-DEC,5,5:00
UFC 86: Jackson vs Griffin,"July 05, 2008",Patrick Cote,Ricardo Almeida,win,S-DEC,3,5:00
UFC 86: Jackson vs Griffin,"July 05, 2008",Joe Stevenson,Gleison Tibau,win,"SUB

      

        Guillotine Choke",2,2:57
UFC 86: Jackson vs Griffin,"July 05, 2008",Josh Koscheck,Chris Lytle,win,U-DEC,3,5:00
UFC 86: Jackson vs Griffin,"July 05, 2008",Tyson Griffin,Marcus Aurelio,win,U-DEC,3,5:00
UFC 86: Jackson vs Griffin,"July 05, 2008",Gabriel Gonzaga,Justin McCully,win,"SUB

      

        Kimura",1,1:57
UFC 86: Jackson vs Griffin,"July 05, 2008",Cole Miller,Jorge Gurgel,win,"SUB

      

        Triangle Choke",3,4:48
UFC 86: Jackson vs Griffin,"July 05, 2008",Melvin Guillard,Dennis Siver,win,"KO/TKO

      

        Punches",1,0:36
UFC 86: Jackson vs Griffin,"July 05, 2008",Justin Buchholz,Corey Hill,win,"SUB

      

        Rear Naked Choke",2,3:57
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Kendall Grove,Evan Tanner,win,S-DEC,3,5:00
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Amir Sadollah,CB Dollaway,win,"SUB

      

        Armbar",1,3:02
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Diego Sanchez,Luigi Fioravanti,win,"KO/TKO

      

        Flying Knee",3,4:07
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Spencer Fisher,Jeremy Stephens,win,U-DEC,3,5:00
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Matthew Riddle,Dante Rivera,win,U-DEC,3,5:00
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Dustin Hazelett,Joshua Burkman,win,"SUB

      

        Armbar",2,4:46
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Drew McFedries,Marvin Eastman,win,"KO/TKO

      

        Punches",1,1:08
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Matt Brown,Matt Arroyo,win,"KO/TKO

      

        Punches",2,3:40
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Dean Lister,Jeremy Horn,win,"SUB

      

        Guillotine Choke",1,3:52
The Ultimate Fighter: Team Rampage vs Team Forrest Finale,"June 21, 2008",Rob Kimmons,Rob Yundt,win,"SUB

      

        Guillotine Choke",1,3:58
UFC 85: Bedlam,"June 07, 2008",Thiago Alves,Matt Hughes,win,"KO/TKO

      

        Flying Knee",2,1:02
UFC 85: Bedlam,"June 07, 2008",Michael Bisping,Jason Day,win,"KO/TKO

      

        Punches",1,3:42
UFC 85: Bedlam,"June 07, 2008",Mike Swick,Marcus Davis,win,U-DEC,3,5:00
UFC 85: Bedlam,"June 07, 2008",Thales Leites,Nate Marquardt,win,S-DEC,3,5:00
UFC 85: Bedlam,"June 07, 2008",Fabricio Werdum,Brandon Vera,win,"KO/TKO

      

        Punches",1,4:40
UFC 85: Bedlam,"June 07, 2008",Martin Kampmann,Jorge Rivera,win,"SUB

      

        Guillotine Choke",1,2:44
UFC 85: Bedlam,"June 07, 2008",Matt Wiman,Thiago Tavares,win,"KO/TKO

      

        Punches",2,1:57
UFC 85: Bedlam,"June 07, 2008",Kevin Burns,Roan Carneiro,win,"SUB

      

        Triangle Choke",2,3:50
UFC 85: Bedlam,"June 07, 2008",Luiz Cane,Jason Lambert,win,"KO/TKO

      

        Punches",1,2:07
UFC 85: Bedlam,"June 07, 2008",Paul Taylor,Jess Liaudin,win,S-DEC,3,5:00
UFC 85: Bedlam,"June 07, 2008",Antoni Hardonk,Eddie Sanchez,win,"KO/TKO

      

        Punch",2,4:15
UFC 84: Ill Will,"May 24, 2008",BJ Penn,Sean Sherk,win,"KO/TKO

      

        Flying Knee",3,5:00
UFC 84: Ill Will,"May 24, 2008",Wanderlei Silva,Keith Jardine,win,"KO/TKO

      

        Punch",1,0:36
UFC 84: Ill Will,"May 24, 2008",Goran Reljic,Wilson Gouveia,win,"KO/TKO

      

        Punch",2,3:15
UFC 84: Ill Will,"May 24, 2008",Lyoto Machida,Tito Ortiz,win,U-DEC,3,5:00
UFC 84: Ill Will,"May 24, 2008",Thiago Silva,Antonio Mendes,win,"KO/TKO

      

        Punches",1,2:24
UFC 84: Ill Will,"May 24, 2008",Rousimar Palhares,Ivan Salaverry,win,"SUB

      

        Armbar",1,2:36
UFC 84: Ill Will,"May 24, 2008",Rameau Thierry Sokoudjou,Kazuhiro Nakamura,win,KO/TKO,1,5:00
UFC 84: Ill Will,"May 24, 2008",Rich Clementi,Terry Etim,win,U-DEC,3,5:00
UFC 84: Ill Will,"May 24, 2008",Yoshiyuki Yoshida,War Machine,win,"SUB

      

        Anaconda Choke",1,0:56
UFC 84: Ill Will,"May 24, 2008",Dong Hyun Kim,Jason Tan,win,"KO/TKO

      

        Elbows",3,0:25
UFC 84: Ill Will,"May 24, 2008",Shane Carwin,Christian Wellisch,win,"KO/TKO

      

        Punch",1,0:44
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Georges St-Pierre,Matt Serra,win,"KO/TKO

      

        Knees",2,4:45
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Rich Franklin,Travis Lutter,win,"KO/TKO

      

        Punches",2,3:01
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Nate Quarry,Kalib Starnes,win,U-DEC,3,5:00
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Michael Bisping,Charles McCarthy,win,"KO/TKO

      

        Knees",1,5:00
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Mac Danzig,Mark Bocek,win,"SUB

      

        Rear Naked Choke",3,3:48
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Jason MacDonald,Joe Doerksen,win,"KO/TKO

      

        Elbows",2,0:54
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Jason Day,Alan Belcher,win,"KO/TKO

      

        Punches",1,3:58
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Demian Maia,Ed Herman,win,"SUB

      

        Triangle Choke",2,2:27
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Rich Clementi,Sam Stout,win,S-DEC,3,5:00
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Cain Velasquez,Brad Morris,win,"KO/TKO

      

        Punches",1,2:10
UFC 83: Serra vs St-Pierre 2,"April 19, 2008",Jonathan Goulet,Kuniyoshi Hironaka,win,"KO/TKO

      

        Punch",2,2:07
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Kenny Florian,Joe Lauzon,win,"KO/TKO

      

        Punches",2,3:28
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Gray Maynard,Frankie Edgar,win,U-DEC,3,5:00
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Thiago Alves,Karo Parisyan,win,"KO/TKO

      

        Knees",2,0:24
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Matt Hamill,Tim Boetsch,win,"KO/TKO

      

        Punches",2,1:25
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Nate Diaz,Kurt Pellegrino,win,"SUB

      

        Triangle Choke",2,3:06
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",James Irvin,Houston Alexander,win,"KO/TKO

      

        Punches",1,0:08
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Josh Neer,Din Thomas,win,U-DEC,3,5:00
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Marcus Aurelio,Ryan Roberts,win,"SUB

      

        Armbar",1,0:16
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Manvel Gamburyan,Jeff Cox,win,"SUB

      

        Guillotine Choke",1,1:41
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Clay Guida,Samy Schiavo,win,"KO/TKO

      

        Punches",1,4:15
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",George Sotiropoulos,Roman Mitichyan,win,"KO/TKO

      

        Punches",2,2:24
UFC Fight Night: Florian vs Lauzon,"April 02, 2008",Anthony Johnson,Tommy Speer,win,"KO/TKO

      

        Punches",1,0:51
UFC 82: Pride of a Champion,"March 01, 2008",Anderson Silva,Dan Henderson,win,"SUB

      

        Rear Naked Choke",2,4:52
UFC 82: Pride of a Champion,"March 01, 2008",Heath Herring,Cheick Kongo,win,S-DEC,3,5:00
UFC 82: Pride of a Champion,"March 01, 2008",Chris Leben,Alessio Sakara,win,"KO/TKO

      

        Punches",1,3:16
UFC 82: Pride of a Champion,"March 01, 2008",Yushin Okami,Evan Tanner,win,"KO/TKO

      

        Knee",2,3:00
UFC 82: Pride of a Champion,"March 01, 2008",Jon Fitch,Chris Wilson,win,U-DEC,3,5:00
UFC 82: Pride of a Champion,"March 01, 2008",Andrei Arlovski,Jake O'Brien,win,"KO/TKO

      

        Punches",2,4:17
UFC 82: Pride of a Champion,"March 01, 2008",Luigi Fioravanti,Luke Cummo,win,U-DEC,3,5:00
UFC 82: Pride of a Champion,"March 01, 2008",Josh Koscheck,Dustin Hazelett,win,"KO/TKO

      

        Kick",2,1:24
UFC 82: Pride of a Champion,"March 01, 2008",Diego Sanchez,David Bielkheden,win,"KO/TKO

      

        Punches",1,4:43
UFC 82: Pride of a Champion,"March 01, 2008",Jorge Gurgel,John Halverson,win,U-DEC,3,5:00
UFC 81: Breaking Point,"February 02, 2008",Antonio Rodrigo Nogueira,Tim Sylvia,win,"SUB

      

        Guillotine Choke",3,1:28
UFC 81: Breaking Point,"February 02, 2008",Frank Mir,Brock Lesnar,win,"SUB

      

        Kneebar",1,1:30
UFC 81: Breaking Point,"February 02, 2008",Nate Marquardt,Jeremy Horn,win,"SUB

      

        Guillotine Choke",2,1:37
UFC 81: Breaking Point,"February 02, 2008",Ricardo Almeida,Rob Yundt,win,"SUB

      

        Guillotine Choke",1,1:08
UFC 81: Breaking Point,"February 02, 2008",Tyson Griffin,Gleison Tibau,win,U-DEC,3,5:00
UFC 81: Breaking Point,"February 02, 2008",Chris Lytle,Kyle Bradley,win,"KO/TKO

      

        Punches",1,0:33
UFC 81: Breaking Point,"February 02, 2008",Tim Boetsch,David Heath,win,"KO/TKO

      

        Punches",1,4:52
UFC 81: Breaking Point,"February 02, 2008",Marvin Eastman,Terry Martin,win,U-DEC,3,5:00
UFC 81: Breaking Point,"February 02, 2008",Rob Emerson,Keita Nakamura,win,S-DEC,3,5:00
UFC Fight Night: Swick vs Burkman,"January 23, 2008",Mike Swick,Joshua Burkman,win,M-DEC,3,5:00
UFC Fight Night: Swick vs Burkman,"January 23, 2008",Patrick Cote,Drew McFedries,win,"KO/TKO

      

        Punches",1,1:44
UFC Fight Night: Swick vs Burkman,"January 23, 2008",Thiago Tavares,Michihiro Omigawa,win,U-DEC,3,5:00
UFC Fight Night: Swick vs Burkman,"January 23, 2008",Nate Diaz,Alvin Robinson,win,"SUB

      

        Triangle Choke",1,3:39
UFC Fight Night: Swick vs Burkman,"January 23, 2008",Kurt Pellegrino,Alberto Crane,win,"KO/TKO

      

        Punches",2,1:55
UFC Fight Night: Swick vs Burkman,"January 23, 2008",Gray Maynard,Dennis Siver,win,U-DEC,3,5:00
UFC Fight Night: Swick vs Burkman,"January 23, 2008",Jeremy Stephens,Cole Miller,win,"KO/TKO

      

        Elbows",2,4:44
UFC Fight Night: Swick vs Burkman,"January 23, 2008",Corey Hill,Joe Veres,win,"KO/TKO

      

        Punches",2,0:37
UFC Fight Night: Swick vs Burkman,"January 23, 2008",Matt Wiman,Justin Buchholz,win,"SUB

      

        Rear Naked Choke",1,2:56
UFC 80: Rapid Fire,"January 19, 2008",BJ Penn,Joe Stevenson,win,"SUB

      

        Rear Naked Choke",2,4:02
UFC 80: Rapid Fire,"January 19, 2008",Fabricio Werdum,Gabriel Gonzaga,win,"KO/TKO

      

        Punches",2,4:34
UFC 80: Rapid Fire,"January 19, 2008",Marcus Davis,Jess Liaudin,win,"KO/TKO

      

        Punch",1,1:04
UFC 80: Rapid Fire,"January 19, 2008",Wilson Gouveia,Jason Lambert,win,"KO/TKO

      

        Punch",2,0:37
UFC 80: Rapid Fire,"January 19, 2008",Jorge Rivera,Kendall Grove,win,"KO/TKO

      

        Punches",1,1:20
UFC 80: Rapid Fire,"January 19, 2008",Antoni Hardonk,Colin Robinson,win,"KO/TKO

      

        Punch",1,0:17
UFC 80: Rapid Fire,"January 19, 2008",Paul Kelly,Paul Taylor,win,U-DEC,3,5:00
UFC 80: Rapid Fire,"January 19, 2008",Alessio Sakara,James Lee,win,"KO/TKO

      

        Punches",1,1:30
UFC 80: Rapid Fire,"January 19, 2008",Sam Stout,Per Eklund,win,U-DEC,3,5:00
