event,fighter_1,fighter_2,weight,result,method,round,time
UFC 83: Serra vs St-Pierre 2,Demian Maia,Ed Herman,Middleweight,win,"SUB

      

        Triangle Choke",2,2:27
UFC 83: Serra vs St-Pierre 2,Rich Clementi,Sam Stout,Lightweight,win,S-DEC,3,5:00
UFC 83: Serra vs St-Pierre 2,Cain Velasquez,Brad Morris,Heavyweight,win,"KO/TKO

      

        Punches",1,2:10
UFC 83: Serra vs St-Pierre 2,Jonathan Goulet,Kuniyoshi Hironaka,Welterweight,win,"KO/TKO

      

        Punch",2,2:07
UFC Fight Night: Florian vs Lauzon,Kenny Florian,Joe Lauzon,Lightweight,win,"KO/TKO

      

        Punches",2,3:28
UFC Fight Night: Florian vs Lauzon,Gray Maynard,Frankie Edgar,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Florian vs Lauzon,Thiago Alves,Karo Parisyan,Welterweight,win,"KO/TKO

      

        Knees",2,0:24
UFC Fight Night: Florian vs Lauzon,Matt Hamill,Tim Boetsch,Light Heavyweight,win,"KO/TKO

      

        Punches",2,1:25
UFC Fight Night: Florian vs Lauzon,Nate Diaz,Kurt Pellegrino,Lightweight,win,"SUB

      

        Triangle Choke",2,3:06
UFC Fight Night: Florian vs Lauzon,James Irvin,Houston Alexander,Light Heavyweight,win,"KO/TKO

      

        Punches",1,0:08
UFC Fight Night: Florian vs Lauzon,Josh Neer,Din Thomas,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Florian vs Lauzon,Marcus Aurelio,Ryan Roberts,Lightweight,win,"SUB

      

        Armbar",1,0:16
UFC Fight Night: Florian vs Lauzon,Manvel Gamburyan,Jeff Cox,Lightweight,win,"SUB

      

        Guillotine Choke",1,1:41
UFC Fight Night: Florian vs Lauzon,Clay Guida,Samy Schiavo,Lightweight,win,"KO/TKO

      

        Punches",1,4:15
UFC Fight Night: Florian vs Lauzon,George Sotiropoulos,Roman Mitichyan,Welterweight,win,"KO/TKO

      

        Punches",2,2:24
UFC Fight Night: Florian vs Lauzon,Anthony Johnson,Tommy Speer,Welterweight,win,"KO/TKO

      

        Punches",1,0:51
UFC 82: Pride of a Champion,Anderson Silva,Dan Henderson,Middleweight,win,"SUB

      

        Rear Naked Choke",2,4:52
UFC 82: Pride of a Champion,Heath Herring,Cheick Kongo,Heavyweight,win,S-DEC,3,5:00
UFC 82: Pride of a Champion,Chris Leben,Alessio Sakara,Middleweight,win,"KO/TKO

      

        Punches",1,3:16
UFC 82: Pride of a Champion,Yushin Okami,Evan Tanner,Middleweight,win,"KO/TKO

      

        Knee",2,3:00
UFC 82: Pride of a Champion,Jon Fitch,Chris Wilson,Welterweight,win,U-DEC,3,5:00
UFC 82: Pride of a Champion,Andrei Arlovski,Jake O'Brien,Heavyweight,win,"KO/TKO

      

        Punches",2,4:17
UFC 82: Pride of a Champion,Luigi Fioravanti,Luke Cummo,Welterweight,win,U-DEC,3,5:00
UFC 82: Pride of a Champion,Josh Koscheck,Dustin Hazelett,Welterweight,win,"KO/TKO

      

        Kick",2,1:24
UFC 82: Pride of a Champion,Diego Sanchez,David Bielkheden,Welterweight,win,"KO/TKO

      

        Punches",1,4:43
UFC 82: Pride of a Champion,Jorge Gurgel,John Halverson,Lightweight,win,U-DEC,3,5:00
UFC 81: Breaking Point,Antonio Rodrigo Nogueira,Tim Sylvia,Heavyweight,win,"SUB

      

        Guillotine Choke",3,1:28
UFC 81: Breaking Point,Frank Mir,Brock Lesnar,Heavyweight,win,"SUB

      

        Kneebar",1,1:30
UFC 81: Breaking Point,Nate Marquardt,Jeremy Horn,Middleweight,win,"SUB

      

        Guillotine Choke",2,1:37
UFC 81: Breaking Point,Ricardo Almeida,Rob Yundt,Middleweight,win,"SUB

      

        Guillotine Choke",1,1:08
UFC 81: Breaking Point,Tyson Griffin,Gleison Tibau,Lightweight,win,U-DEC,3,5:00
UFC 81: Breaking Point,Chris Lytle,Kyle Bradley,Welterweight,win,"KO/TKO

      

        Punches",1,0:33
UFC 81: Breaking Point,Tim Boetsch,David Heath,Light Heavyweight,win,"KO/TKO

      

        Punches",1,4:52
UFC 81: Breaking Point,Marvin Eastman,Terry Martin,Middleweight,win,U-DEC,3,5:00
UFC 81: Breaking Point,Rob Emerson,Keita Nakamura,Lightweight,win,S-DEC,3,5:00
UFC Fight Night: Swick vs Burkman,Mike Swick,Joshua Burkman,Welterweight,win,M-DEC,3,5:00
UFC Fight Night: Swick vs Burkman,Patrick Cote,Drew McFedries,Middleweight,win,"KO/TKO

      

        Punches",1,1:44
UFC Fight Night: Swick vs Burkman,Thiago Tavares,Michihiro Omigawa,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Swick vs Burkman,Nate Diaz,Alvin Robinson,Lightweight,win,"SUB

      

        Triangle Choke",1,3:39
UFC Fight Night: Swick vs Burkman,Kurt Pellegrino,Alberto Crane,Lightweight,win,"KO/TKO

      

        Punches",2,1:55
UFC Fight Night: Swick vs Burkman,Gray Maynard,Dennis Siver,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Swick vs Burkman,Jeremy Stephens,Cole Miller,Lightweight,win,"KO/TKO

      

        Elbows",2,4:44
UFC Fight Night: Swick vs Burkman,Corey Hill,Joe Veres,Lightweight,win,"KO/TKO

      

        Punches",2,0:37
UFC Fight Night: Swick vs Burkman,Matt Wiman,Justin Buchholz,Lightweight,win,"SUB

      

        Rear Naked Choke",1,2:56
UFC 80: Rapid Fire,BJ Penn,Joe Stevenson,Lightweight,win,"SUB

      

        Rear Naked Choke",2,4:02
UFC 80: Rapid Fire,Fabricio Werdum,Gabriel Gonzaga,Heavyweight,win,"KO/TKO

      

        Punches",2,4:34
UFC 80: Rapid Fire,Marcus Davis,Jess Liaudin,Welterweight,win,"KO/TKO

      

        Punch",1,1:04
UFC 80: Rapid Fire,Wilson Gouveia,Jason Lambert,Light Heavyweight,win,"KO/TKO

      

        Punch",2,0:37
UFC 80: Rapid Fire,Jorge Rivera,Kendall Grove,Middleweight,win,"KO/TKO

      

        Punches",1,1:20
UFC 80: Rapid Fire,Antoni Hardonk,Colin Robinson,Heavyweight,win,"KO/TKO

      

        Punch",1,0:17
UFC 80: Rapid Fire,Paul Kelly,Paul Taylor,Welterweight,win,U-DEC,3,5:00
UFC 80: Rapid Fire,Alessio Sakara,James Lee,Light Heavyweight,win,"KO/TKO

      

        Punches",1,1:30
UFC 80: Rapid Fire,Sam Stout,Per Eklund,Lightweight,win,U-DEC,3,5:00
UFC 79: Nemesis,Georges St-Pierre,Matt Hughes,Welterweight,win,"SUB

      

        Armbar",2,4:54
UFC 79: Nemesis,Chuck Liddell,Wanderlei Silva,Light Heavyweight,win,U-DEC,3,5:00
UFC 79: Nemesis,Eddie Sanchez,Soa Palelei,Heavyweight,win,"KO/TKO

      

        Punches",3,3:24
UFC 79: Nemesis,Lyoto Machida,Rameau Thierry Sokoudjou,Light Heavyweight,win,"SUB

      

        Arm Triangle",2,4:20
UFC 79: Nemesis,Rich Clementi,Melvin Guillard,Lightweight,win,"SUB

      

        Rear Naked Choke",1,4:40
UFC 79: Nemesis,James Irvin,Luiz Cane,Light Heavyweight,win,DQ,1,1:51
UFC 79: Nemesis,Manvel Gamburyan,Nate Mohr,Lightweight,win,"SUB

      

        Ankle Lock",1,1:31
UFC 79: Nemesis,Dean Lister,Jordan Radev,Middleweight,win,U-DEC,3,5:00
UFC 79: Nemesis,Roan Carneiro,Tony DeSouza,Welterweight,win,"KO/TKO

      

        Punches",2,3:33
UFC 79: Nemesis,Mark Bocek,Doug Evans,Lightweight,win,U-DEC,3,5:00
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Roger Huerta,Clay Guida,Lightweight,win,"SUB

      

        Rear Naked Choke",3,0:51
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Mac Danzig,Tommy Speer,Welterweight,win,"SUB

      

        Rear Naked Choke",1,2:01
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,War Machine,Jared Rollins,Welterweight,win,"KO/TKO

      

        Punches",3,2:01
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,George Sotiropoulos,Billy Miles,Welterweight,win,"SUB

      

        Rear Naked Choke",1,1:36
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Ben Saunders,Dan Barrera,Welterweight,win,U-DEC,3,5:00
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Troy Mandaloniz,Richie Hightower,Welterweight,win,"KO/TKO

      

        Punch",1,4:20
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Matt Arroyo,John Kolosci,Welterweight,win,"SUB

      

        Armbar",1,4:42
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Roman Mitichyan,Dorian Price,Welterweight,win,"SUB

      

        Ankle Lock",1,0:23
The Ultimate Fighter: Team Hughes vs. Team Serra Finale,Jonathan Goulet,Paul Georgieff,Welterweight,win,"SUB

      

        Rear Naked Choke",1,4:42
UFC 78: Validation,Rashad Evans,Michael Bisping,Light Heavyweight,win,S-DEC,3,5:00
UFC 78: Validation,Thiago Silva,Houston Alexander,Light Heavyweight,win,"KO/TKO

      

        Punches",1,3:25
UFC 78: Validation,Karo Parisyan,Ryo Chonan,Welterweight,win,U-DEC,3,5:00
UFC 78: Validation,Ed Herman,Joe Doerksen,Middleweight,win,"KO/TKO

      

        Punch",3,0:39
UFC 78: Validation,Frankie Edgar,Spencer Fisher,Lightweight,win,U-DEC,3,5:00
UFC 78: Validation,Thiago Alves,Chris Lytle,Welterweight,win,KO/TKO,2,5:00
UFC 78: Validation,Joe Lauzon,Jason Reinhardt,Lightweight,win,"SUB

      

        Rear Naked Choke",1,1:14
UFC 78: Validation,Marcus Aurelio,Luke Caudillo,Lightweight,win,"KO/TKO

      

        Punches",1,4:29
UFC 78: Validation,Akihiro Gono,Tamdan McCrory,Welterweight,win,"SUB

      

        Armbar",2,3:19
UFC 77: Hostile Territory,Anderson Silva,Rich Franklin,Middleweight,win,"KO/TKO

      

        Knees",2,1:07
UFC 77: Hostile Territory,Tim Sylvia,Brandon Vera,Heavyweight,win,U-DEC,3,5:00
UFC 77: Hostile Territory,Alvin Robinson,Jorge Gurgel,Lightweight,win,U-DEC,3,5:00
UFC 77: Hostile Territory,Stephan Bonnar,Eric Schafer,Light Heavyweight,win,"KO/TKO

      

        Punches",2,2:47
UFC 77: Hostile Territory,Alan Belcher,Kalib Starnes,Middleweight,win,KO/TKO,2,1:39
UFC 77: Hostile Territory,Yushin Okami,Jason MacDonald,Middleweight,win,U-DEC,3,5:00
UFC 77: Hostile Territory,Demian Maia,Ryan Jensen,Middleweight,win,"SUB

      

        Rear Naked Choke",1,2:40
UFC 77: Hostile Territory,Joshua Burkman,Forrest Petz,Welterweight,win,S-DEC,3,5:00
UFC 77: Hostile Territory,Matt Grice,Jason Black,Lightweight,win,S-DEC,3,5:00
UFC 76: Knockout,Keith Jardine,Chuck Liddell,Light Heavyweight,win,S-DEC,3,5:00
UFC 76: Knockout,Forrest Griffin,Mauricio Rua,Light Heavyweight,win,"SUB

      

        Rear Naked Choke",3,4:45
UFC 76: Knockout,Jon Fitch,Diego Sanchez,Welterweight,win,S-DEC,3,5:00
UFC 76: Knockout,Lyoto Machida,Kazuhiro Nakamura,Light Heavyweight,win,U-DEC,3,5:00
UFC 76: Knockout,Tyson Griffin,Thiago Tavares,Lightweight,win,U-DEC,3,5:00
UFC 76: Knockout,Rich Clementi,Anthony Johnson,Welterweight,win,"SUB

      

        Rear Naked Choke",2,3:05
UFC 76: Knockout,Jeremy Stephens,Diego Saraiva,Lightweight,win,U-DEC,3,5:00
UFC 76: Knockout,Christian Wellisch,Scott Junk,Heavyweight,win,"SUB

      

        Heel Hook",1,3:19
UFC 76: Knockout,Matt Wiman,Michihiro Omigawa,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Thomas vs Florian,Kenny Florian,Din Thomas,Lightweight,win,"SUB

      

        Rear Naked Choke",1,4:31
UFC Fight Night: Thomas vs Florian,Chris Leben,Terry Martin,Middleweight,win,"KO/TKO

      

        Punch",3,3:56
UFC Fight Night: Thomas vs Florian,Nate Diaz,Junior Assuncao,Lightweight,win,"SUB

      

        Guillotine Choke",1,4:10
UFC Fight Night: Thomas vs Florian,Nate Quarry,Pete Sell,Middleweight,win,"KO/TKO

      

        Punch",3,0:44
UFC Fight Night: Thomas vs Florian,Luke Cummo,Edilberto de Oliveira,Welterweight,win,"KO/TKO

      

        Punches",1,1:45
UFC Fight Night: Thomas vs Florian,Cole Miller,Leonard Garcia,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Thomas vs Florian,Gray Maynard,Joe Veres,Lightweight,win,"KO/TKO

      

        Punch",1,0:09
UFC Fight Night: Thomas vs Florian,Thiago Alves,Kuniyoshi Hironaka,Welterweight,win,"KO/TKO

      

        Knee",2,4:04
UFC Fight Night: Thomas vs Florian,Dustin Hazelett,Jonathan Goulet,Welterweight,win,"SUB

      

        Armbar",1,1:14
UFC 75: Champion vs Champion,Quinton Jackson,Dan Henderson,Light Heavyweight,win,U-DEC,5,5:00
UFC 75: Champion vs Champion,Michael Bisping,Matt Hamill,Light Heavyweight,win,S-DEC,3,5:00
UFC 75: Champion vs Champion,Cheick Kongo,Mirko Filipovic,Heavyweight,win,U-DEC,3,5:00
UFC 75: Champion vs Champion,Marcus Davis,Paul Taylor,Welterweight,win,"SUB

      

        Armbar",1,4:14
UFC 75: Champion vs Champion,Houston Alexander,Alessio Sakara,Light Heavyweight,win,"KO/TKO

      

        Knee",1,1:01
UFC 75: Champion vs Champion,Gleison Tibau,Terry Etim,Lightweight,win,U-DEC,3,5:00
UFC 75: Champion vs Champion,Thiago Silva,Tomasz Drwal,Light Heavyweight,win,"KO/TKO

      

        Punches",2,4:23
UFC 75: Champion vs Champion,Dennis Siver,Naoyuki Kotani,Lightweight,win,"KO/TKO

      

        Punch",2,2:04
UFC 75: Champion vs Champion,Jess Liaudin,Anthony Torres,Welterweight,win,"KO/TKO

      

        Punches",1,4:10
UFC 74: Respect,Randy Couture,Gabriel Gonzaga,Heavyweight,win,"KO/TKO

      

        Punches",3,1:37
UFC 74: Respect,Georges St-Pierre,Josh Koscheck,Welterweight,win,U-DEC,3,5:00
UFC 74: Respect,Roger Huerta,Alberto Crane,Lightweight,win,"KO/TKO

      

        Punches",3,1:50
UFC 74: Respect,Joe Stevenson,Kurt Pellegrino,Lightweight,win,U-DEC,3,5:00
UFC 74: Respect,Patrick Cote,Kendall Grove,Middleweight,win,"KO/TKO

      

        Punches",1,4:45
UFC 74: Respect,Renato Sobral,David Heath,Light Heavyweight,win,"SUB

      

        Anaconda Choke",2,3:30
UFC 74: Respect,Frank Mir,Antoni Hardonk,Heavyweight,win,"SUB

      

        Kimura",1,1:17
UFC 74: Respect,Thales Leites,Ryan Jensen,Middleweight,win,"SUB

      

        Armbar",1,3:47
UFC 74: Respect,Clay Guida,Marcus Aurelio,Lightweight,win,S-DEC,3,5:00
UFC 73: Stacked,Kenny Florian,Alvin Robinson,Lightweight,win,"KO/TKO

      

        Elbows",1,4:30
UFC 73: Stacked,Anderson Silva,Nate Marquardt,Middleweight,win,"KO/TKO

      

        Punches",1,4:50
UFC 73: Stacked,Rashad Evans,Tito Ortiz,Light Heavyweight,"draw


draw",U-DEC,3,5:00
UFC 73: Stacked,Sean Sherk,Hermes Franca,Lightweight,win,U-DEC,5,5:00
UFC 73: Stacked,Antonio Rodrigo Nogueira,Heath Herring,Heavyweight,win,U-DEC,3,5:00
UFC 73: Stacked,Stephan Bonnar,Mike Nickels,Light Heavyweight,win,"SUB

      

        Rear Naked Choke",1,2:14
UFC 73: Stacked,Jorge Gurgel,Diego Saraiva,Lightweight,win,U-DEC,3,5:00
UFC 73: Stacked,Chris Lytle,Jason Gilliam,Welterweight,win,"SUB

      

        Triangle Choke",1,2:15
UFC 73: Stacked,Frankie Edgar,Mark Bocek,Lightweight,win,"KO/TKO

      

        Punches",1,4:55
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,BJ Penn,Jens Pulver,Lightweight,win,"SUB

      

        Rear Naked Choke",2,3:12
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Nate Diaz,Manvel Gamburyan,Lightweight,win,"SUB

      

        Injury",2,0:20
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Thales Leites,Floyd Sword,Middleweight,win,"SUB

      

        Arm Triangle",1,3:50
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Roger Huerta,Doug Evans,Lightweight,win,"KO/TKO

      

        Punches",2,3:30
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Joe Lauzon,Brandon Melendez,Lightweight,win,"SUB

      

        Triangle Choke",2,2:09
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Cole Miller,Andy Wang,Lightweight,win,"KO/TKO

      

        Kick",1,1:10
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Gray Maynard,Rob Emerson,Lightweight,"nc


nc",CNC,2,0:39
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Leonard Garcia,Allen Berube,Lightweight,win,"SUB

      

        Rear Naked Choke",1,4:22
The Ultimate Fighter: Team Pulver vs. Team Penn Finale,Matt Wiman,Brian Geraghty,Lightweight,win,"KO/TKO

      

        Punches",1,2:09
UFC 72: Victory,Rich Franklin,Yushin Okami,Middleweight,win,U-DEC,3,5:00
UFC 72: Victory,Forrest Griffin,Hector Ramirez,Light Heavyweight,win,U-DEC,3,5:00
UFC 72: Victory,Jason MacDonald,Rory Singer,Middleweight,win,"KO/TKO

      

        Punches",2,3:18
UFC 72: Victory,Tyson Griffin,Clay Guida,Lightweight,win,S-DEC,3,5:00
UFC 72: Victory,Ed Herman,Scott Smith,Middleweight,win,"SUB

      

        Rear Naked Choke",2,2:25
UFC 72: Victory,Marcus Davis,Jason Tan,Welterweight,win,"KO/TKO

      

        Punches",1,1:15
UFC 72: Victory,Eddie Sanchez,Colin Robinson,Heavyweight,win,"KO/TKO

      

        Elbows",2,0:32
UFC 72: Victory,Dustin Hazelett,Stevie Lynch,Welterweight,win,"SUB

      

        Anaconda Choke",1,2:50
UFC Fight Night: Stout vs Fisher,Spencer Fisher,Sam Stout,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Stout vs Fisher,Jon Fitch,Roan Carneiro,Welterweight,win,"SUB

      

        Rear Naked Choke",2,1:07
UFC Fight Night: Stout vs Fisher,Drew McFedries,Jordan Radev,Middleweight,win,"KO/TKO

      

        Punch",1,0:33
UFC Fight Night: Stout vs Fisher,Thiago Tavares,Jason Black,Lightweight,win,"SUB

      

        Triangle Choke",2,2:49
UFC Fight Night: Stout vs Fisher,Forrest Petz,Luigi Fioravanti,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Stout vs Fisher,Tamdan McCrory,Pete Spratt,Welterweight,win,"SUB

      

        Triangle Choke",2,2:04
UFC Fight Night: Stout vs Fisher,Gleison Tibau,Jeff Cox,Lightweight,win,"SUB

      

        Arm Triangle",1,1:52
UFC Fight Night: Stout vs Fisher,Anthony Johnson,Chad Reiner,Welterweight,win,"KO/TKO

      

        Punches",1,0:13
UFC Fight Night: Stout vs Fisher,Nate Mohr,Luke Caudillo,Lightweight,win,U-DEC,3,5:00
UFC 71: Liddell vs Jackson,Quinton Jackson,Chuck Liddell,Light Heavyweight,win,"KO/TKO

      

        Punch",1,1:53
UFC 71: Liddell vs Jackson,Karo Parisyan,Joshua Burkman,Welterweight,win,U-DEC,3,5:00
UFC 71: Liddell vs Jackson,Terry Martin,Ivan Salaverry,Middleweight,win,KO/TKO,1,2:04
UFC 71: Liddell vs Jackson,Houston Alexander,Keith Jardine,Light Heavyweight,win,"KO/TKO

      

        Punch",1,0:48
UFC 71: Liddell vs Jackson,Kalib Starnes,Chris Leben,Middleweight,win,U-DEC,3,5:00
UFC 71: Liddell vs Jackson,Thiago Silva,James Irvin,Light Heavyweight,win,KO/TKO,1,1:06
UFC 71: Liddell vs Jackson,Alan Belcher,Sean Salmon,Light Heavyweight,win,"SUB

      

        Guillotine Choke",1,0:53
UFC 71: Liddell vs Jackson,Din Thomas,Jeremy Stephens,Lightweight,win,"SUB

      

        Armbar",2,2:44
UFC 71: Liddell vs Jackson,Wilson Gouveia,Carmelo Marrero,Light Heavyweight,win,"SUB

      

        Guillotine Choke",1,3:06
UFC 70: Nations Collide,Gabriel Gonzaga,Mirko Filipovic,Heavyweight,win,"KO/TKO

      

        Kick",1,4:51
UFC 70: Nations Collide,Andrei Arlovski,Fabricio Werdum,Heavyweight,win,U-DEC,3,5:00
UFC 70: Nations Collide,Michael Bisping,Elvis Sinosic,Light Heavyweight,win,"KO/TKO

      

        Punches",2,1:40
UFC 70: Nations Collide,Lyoto Machida,David Heath,Light Heavyweight,win,U-DEC,3,5:00
UFC 70: Nations Collide,Cheick Kongo,Assuerio Silva,Heavyweight,win,M-DEC,3,5:00
UFC 70: Nations Collide,Terry Etim,Matt Grice,Lightweight,win,"SUB

      

        Guillotine Choke",1,4:48
UFC 70: Nations Collide,Junior Assuncao,David Lee,Lightweight,win,"SUB

      

        Rear Naked Choke",2,1:55
UFC 70: Nations Collide,Alessio Sakara,Victor Valimaki,Light Heavyweight,win,"KO/TKO

      

        Punch",1,1:44
UFC 70: Nations Collide,Jess Liaudin,Dennis Siver,Welterweight,win,"SUB

      

        Armbar",1,1:21
UFC 70: Nations Collide,Paul Taylor,Edilberto de Oliveira,Welterweight,win,"KO/TKO

      

        Kick",3,0:37
UFC 69: Shootout,Matt Serra,Georges St-Pierre,Welterweight,win,"KO/TKO

      

        Punches",1,3:25
UFC 69: Shootout,Josh Koscheck,Diego Sanchez,Welterweight,win,U-DEC,3,5:00
UFC 69: Shootout,Roger Huerta,Leonard Garcia,Lightweight,win,U-DEC,3,5:00
UFC 69: Shootout,Yushin Okami,Mike Swick,Middleweight,win,U-DEC,3,5:00
UFC 69: Shootout,Kendall Grove,Alan Belcher,Middleweight,win,"SUB

      

        D'Arce Choke",2,4:42
UFC 69: Shootout,Heath Herring,Brad Imes,Heavyweight,win,U-DEC,3,5:00
UFC 69: Shootout,Thales Leites,Pete Sell,Middleweight,win,U-DEC,3,5:00
UFC 69: Shootout,Marcus Davis,Pete Spratt,Welterweight,win,"SUB

      

        Ankle Lock",2,2:57
UFC 69: Shootout,Luke Cummo,Josh Haynes,Welterweight,win,"KO/TKO

      

        Punches",2,2:45
UFC Fight Night: Stevenson vs Guillard,Joe Stevenson,Melvin Guillard,Lightweight,win,"SUB

      

        Guillotine Choke",1,0:27
UFC Fight Night: Stevenson vs Guillard,Justin McCully,Antoni Hardonk,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Stevenson vs Guillard,Kenny Florian,Dokonjonosuke Mishima,Lightweight,win,"SUB

      

        Rear Naked Choke",3,3:57
UFC Fight Night: Stevenson vs Guillard,Wilson Gouveia,Seth Petruzelli,Light Heavyweight,win,"SUB

      

        Guillotine Choke",2,0:39
UFC Fight Night: Stevenson vs Guillard,Drew Fickett,Keita Nakamura,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Stevenson vs Guillard,Kurt Pellegrino,Nate Mohr,Lightweight,win,"SUB

      

        Ankle Lock",1,2:58
UFC Fight Night: Stevenson vs Guillard,Kuniyoshi Hironaka,Forrest Petz,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Stevenson vs Guillard,Roan Carneiro,Rich Clementi,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Stevenson vs Guillard,Thiago Tavares,Naoyuki Kotani,Lightweight,win,U-DEC,3,5:00
UFC 68: The Uprising,Randy Couture,Tim Sylvia,Heavyweight,win,U-DEC,5,5:00
UFC 68: The Uprising,Martin Kampmann,Drew McFedries,Middleweight,win,"SUB

      

        Arm Triangle",1,4:06
UFC 68: The Uprising,Rich Franklin,Jason MacDonald,Middleweight,win,KO/TKO,2,5:00
UFC 68: The Uprising,Matt Hughes,Chris Lytle,Welterweight,win,U-DEC,3,5:00
UFC 68: The Uprising,Jason Lambert,Renato Sobral,Light Heavyweight,win,"KO/TKO

      

        Punch",2,3:36
UFC 68: The Uprising,Matt Hamill,Rex Holman,Light Heavyweight,win,"KO/TKO

      

        Punches",1,4:00
UFC 68: The Uprising,Jon Fitch,Luigi Fioravanti,Welterweight,win,"SUB

      

        Rear Naked Choke",2,3:05
UFC 68: The Uprising,Gleison Tibau,Jason Dent,Lightweight,win,U-DEC,3,5:00
UFC 68: The Uprising,Jamie Varner,Jason Gilliam,Lightweight,win,"SUB

      

        Rear Naked Choke",1,1:34
UFC 67: All or Nothing,Anderson Silva,Travis Lutter,Middleweight,win,"SUB

      

        Triangle Choke",2,2:11
UFC 67: All or Nothing,Mirko Filipovic,Eddie Sanchez,Heavyweight,win,"KO/TKO

      

        Punches",1,4:33
UFC 67: All or Nothing,Roger Huerta,John Halverson,Lightweight,win,"KO/TKO

      

        Punches",1,0:19
UFC 67: All or Nothing,Quinton Jackson,Marvin Eastman,Light Heavyweight,win,"KO/TKO

      

        Punches",2,3:49
UFC 67: All or Nothing,Patrick Cote,Scott Smith,Middleweight,win,U-DEC,3,5:00
UFC 67: All or Nothing,Terry Martin,Jorge Rivera,Middleweight,win,"KO/TKO

      

        Punch",1,0:14
UFC 67: All or Nothing,Frankie Edgar,Tyson Griffin,Lightweight,win,U-DEC,3,5:00
UFC 67: All or Nothing,Lyoto Machida,Sam Hoger,Light Heavyweight,win,U-DEC,3,5:00
UFC 67: All or Nothing,Dustin Hazelett,Diego Saraiva,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,Rashad Evans,Sean Salmon,Light Heavyweight,win,"KO/TKO

      

        Kick",2,1:06
UFC Fight Night: Evans vs Salmon,Jake O'Brien,Heath Herring,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,Hermes Franca,Spencer Fisher,Lightweight,win,"KO/TKO

      

        Punch",2,4:03
UFC Fight Night: Evans vs Salmon,Nate Marquardt,Dean Lister,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,Joshua Burkman,Chad Reiner,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,Ed Herman,Chris Price,Middleweight,win,"SUB

      

        Armbar",1,2:58
UFC Fight Night: Evans vs Salmon,Din Thomas,Clay Guida,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Evans vs Salmon,Rich Clementi,Ross Pointon,Welterweight,win,"SUB

      

        Rear Naked Choke",2,4:53
UFC 66: Liddell vs Ortiz 2,Chuck Liddell,Tito Ortiz,Light Heavyweight,win,"KO/TKO

      

        Punches",3,3:59
UFC 66: Liddell vs Ortiz 2,Keith Jardine,Forrest Griffin,Light Heavyweight,win,"KO/TKO

      

        Punches",1,4:41
UFC 66: Liddell vs Ortiz 2,Jason MacDonald,Chris Leben,Middleweight,win,"SUB

      

        Guillotine Choke",2,4:03
UFC 66: Liddell vs Ortiz 2,Andrei Arlovski,Marcio Cruz,Heavyweight,win,"KO/TKO

      

        Punches",1,3:15
UFC 66: Liddell vs Ortiz 2,Michael Bisping,Eric Schafer,Light Heavyweight,win,"KO/TKO

      

        Punches",1,4:24
UFC 66: Liddell vs Ortiz 2,Thiago Alves,Tony DeSouza,Welterweight,win,"KO/TKO

      

        Knee",2,1:10
UFC 66: Liddell vs Ortiz 2,Gabriel Gonzaga,Carmelo Marrero,Heavyweight,win,"SUB

      

        Armbar",1,3:22
UFC 66: Liddell vs Ortiz 2,Yushin Okami,Rory Singer,Middleweight,win,"KO/TKO

      

        Punches",3,4:03
UFC 66: Liddell vs Ortiz 2,Christian Wellisch,Anthony Perosh,Heavyweight,win,U-DEC,3,5:00
